baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol
ENSMUSG00000019874.11	25703.2662705826	12.7466866094113	0.474340327548747	5.26300945267798e-158	3.97387288016917e-155	Fabp7
ENSMUSG00000061603.8	7603.48082280734	11.4281193919727	0.428588172627055	2.49265767779527e-156	1.82981845697488e-153	Akap6
ENSMUSG00000039385.5	1995.47208500791	6.7312244649433	0.253403899849722	3.2352702066412e-156	2.31076988515964e-153	Cdh6
ENSMUSG00000027200.17	5477.36481332007	8.58431845598645	0.324645598903715	7.85858368173955e-156	5.4652313409824e-153	Sema6d
ENSMUSG00000020875.9	12459.1855201548	8.29160059980261	0.31314008600607	2.49496911786436e-155	1.69062945840517e-152	Hoxb9
ENSMUSG00000027577.14	5226.82308542981	6.46524210924476	0.244997165610521	1.10963503516697e-154	7.33108126858937e-152	Chrna4
ENSMUSG00000031824.15	2508.95486296758	6.77400306652206	0.256896905130626	2.55362621873462e-154	1.64596780689024e-151	AC163442.1
ENSMUSG00000055435.6	1562.01823371344	5.98585750305548	0.22908379442795	3.53326533018228e-151	2.2231810209697e-148	Maf
ENSMUSG00000005089.15	11918.3217958747	10.4180494878306	0.400589140903798	1.80141727136453e-150	1.10711754024071e-147	Slc1a2
ENSMUSG00000029712.14	5149.47073761253	10.3779749701095	0.401870695996052	5.90769208267966e-148	3.5482404242949e-145	Actl6b
ENSMUSG00000025529.14	2712.96604130118	6.78754305622539	0.263593193232055	1.38496470440172e-147	8.13343605404981e-145	Zfp711
ENSMUSG00000024304.14	17306.1015590995	7.53212289198378	0.293367283532773	1.08352649923154e-146	6.2248597380852e-144	Cdh2
ENSMUSG00000036862.15	11503.1728117437	7.40345700856408	0.288335285545723	1.82859878332525e-146	1.02817829887099e-143	Dchs1
ENSMUSG00000106847.1	8022.55103473386	7.11256549338768	0.278983072789166	1.4543645747488e-144	8.00718596185136e-142	Peg13
ENSMUSG00000025892.16	2354.5176126677	6.37764888189557	0.25083608811563	9.42377887455405e-144	5.0824939656702e-141	Gria4
ENSMUSG00000063063.12	11248.0999744271	8.76789288343566	0.345807942386279	2.5723882228078e-143	1.35961007128284e-140	Ctnna2
ENSMUSG00000046844.6	1024.39184562939	5.45357998734421	0.215282573613453	6.45467615438199e-143	3.3446613084677e-140	Vat1l
ENSMUSG00000026247.13	1230.30985435052	4.65143439638283	0.183736261156548	1.07885387847386e-142	5.48285989354396e-140	Ecel1
ENSMUSG00000027217.13	3602.90806316205	5.11165317368193	0.204296721300225	2.77342003051157e-139	1.38289002162885e-136	Tspan18
ENSMUSG00000033419.15	6611.40710498974	5.71476815031405	0.229095111174952	1.70514456585103e-138	8.34478804476761e-136	Snap91
ENSMUSG00000041216.15	2620.85181071769	8.81580399343378	0.353168654117382	5.44294014637743e-138	2.6152832590603e-135	Clvs1
ENSMUSG00000029126.7	18942.3595368542	8.12584048873886	0.326736437624522	9.84171878413795e-138	4.64441254122167e-135	Nsg1
ENSMUSG00000032589.14	5349.54977882167	6.6650992185768	0.270069976990449	1.09393193586614e-135	5.07181390686572e-133	Bsn
ENSMUSG00000048385.9	7571.95138710707	10.2120467774752	0.414458244194271	1.70897557268248e-135	7.78674094125516e-133	Scrt1
ENSMUSG00000028698.13	12632.8097681556	5.75841631785719	0.233589267779547	2.98781205296789e-135	1.33828659531835e-132	Pik3r3
ENSMUSG00000041757.16	8466.2689011291	5.19002990299867	0.210982652690186	6.87442623022525e-135	3.02784103310271e-132	Plekha6
ENSMUSG00000069227.4	6882.58668021312	9.36810337408898	0.382497352652572	3.13191379413463e-134	1.35683747274747e-131	Gprin1
ENSMUSG00000059146.12	6021.67280932284	11.0633451879991	0.4505460566329	4.21351997404105e-134	1.7959789089352e-131	Ntrk3
ENSMUSG00000052951.5	6816.61696161801	7.57820677217523	0.309555235705116	1.02903616806425e-133	4.3165617164181e-131	RP23-65G6.4
ENSMUSG00000048763.11	12839.1695153078	10.0265848556103	0.409325636347185	1.87956523295218e-133	7.76113600175427e-131	Hoxb3
ENSMUSG00000051515.9	1672.74560991393	5.5142978822497	0.22551033260868	2.36917476749651e-133	9.63233562778927e-131	Fam181b
ENSMUSG00000047085.14	6418.16985963798	9.45004804178618	0.387448256320647	9.98545762400506e-133	3.99826800953912e-130	Lrrc4b
ENSMUSG00000015709.9	10803.5450438727	6.25248452858396	0.25647929717397	2.02936559198003e-132	8.00448425362034e-130	Arnt2
ENSMUSG00000025582.4	1710.35132113512	6.16658899592031	0.253773620988796	1.12330219598184e-131	4.36551575488413e-129	Nptx1
ENSMUSG00000037126.16	3802.80290231161	4.7181519546417	0.194075586048175	1.17542738585133e-131	4.50188688781059e-129	Psd
ENSMUSG00000049001.5	1920.95737166662	7.80268423082401	0.321670318431018	1.23011141513295e-131	4.64402205253121e-129	Ndnf
ENSMUSG00000026640.12	21471.4389963224	6.49262123551794	0.267378760071262	2.08525638199577e-131	7.76155921225385e-129	Plxna2
ENSMUSG00000031748.16	14908.4906972214	5.33681900147521	0.221571319322756	2.15956622608374e-129	7.9265078689882e-127	Gnao1
ENSMUSG00000098912.7	3614.02352199274	6.9114751506475	0.287193489601101	4.36752550043464e-129	1.58110406027378e-126	RP23-199B2.4
ENSMUSG00000026587.15	10275.5964363513	9.28039812999193	0.387223878324488	1.39717618609439e-128	4.98961825269141e-126	Astn1
ENSMUSG00000027350.8	3521.69730751257	10.0028025731362	0.41755492241007	6.80219028037894e-128	2.39681976719432e-125	Chgb
ENSMUSG00000046709.16	4858.95342550244	10.0531386511137	0.418793410811154	1.62686734655901e-127	5.65700307467301e-125	Mapk10
ENSMUSG00000056648.5	17553.5844669884	11.6816160567888	0.485845375958835	1.71754227780578e-127	5.89473893189263e-125	Hoxb8
ENSMUSG00000055421.8	2481.80885224384	9.21862694742516	0.385193667494119	3.59707395213084e-127	1.21871632478156e-124	Pcdh9
ENSMUSG00000024534.15	2221.30257833604	9.00271805934711	0.376920731691052	6.47759704876269e-127	2.16687920516015e-124	Sncaip
ENSMUSG00000021010.8	1451.64391975404	7.74125937115223	0.32435611257908	1.01435907277881e-126	3.3508084020407e-124	Npas3
ENSMUSG00000020701.12	1732.24914085286	6.96940045300046	0.292718079619532	1.44916573229301e-126	4.72803738361819e-124	Tmem132e
ENSMUSG00000060257.2	10102.0894770344	11.2663580125295	0.471544295936955	2.96581020346537e-126	9.55822759109503e-124	Scrt2
ENSMUSG00000069171.14	6379.46610967638	10.5256230719344	0.442001280182985	3.54463574575723e-126	1.12860348015815e-123	Nr2f1
ENSMUSG00000047501.3	26808.6039191884	-5.84873163466844	0.246381093168949	8.16056405484629e-126	2.56737174139789e-123	Cldn4
ENSMUSG00000038721.8	4521.42827441952	8.31131039242367	0.34908524366393	8.28235186474673e-126	2.57503191446661e-123	Hoxb7
ENSMUSG00000020181.16	3891.59620627093	8.36213859042378	0.352601480811182	2.47834527515274e-125	7.61572448679784e-123	Nav3
ENSMUSG00000048895.13	12021.8269428423	7.30623258135851	0.308738093515335	5.8964734172959e-125	1.79110463217102e-122	Cdk5r1
ENSMUSG00000034098.14	5200.86878026129	11.3268026885787	0.478851202962216	4.60861310289322e-124	1.3839979371609e-121	Fstl5
ENSMUSG00000039989.7	1233.66806522864	4.38527729532439	0.185960117858845	5.56315925516493e-124	1.65188325433982e-121	Cbx4
ENSMUSG00000038143.16	15315.6766172247	5.46524885032951	0.231729158698622	6.18367869706915e-124	1.79578106513677e-121	Stox2
ENSMUSG00000053046.16	7840.73926998954	7.85583210128534	0.333750575492362	6.13091409817769e-124	1.79578106513677e-121	Brsk2
ENSMUSG00000058975.7	1699.86119465408	6.92288872845999	0.294079729253773	1.57978187148087e-123	4.53792342582881e-121	Kcnc1
ENSMUSG00000059401.13	679.339249969895	6.78506105806912	0.287909147657801	4.77377645113011e-123	1.35652247606468e-120	Mamld1
ENSMUSG00000027581.12	12858.2124286071	7.36542484544118	0.314418986388062	1.34758117403253e-122	3.78856677512316e-120	Stmn3
ENSMUSG00000038916.7	5077.92382628793	7.98413684564828	0.342504734266046	1.00364158700076e-121	2.79191960207044e-119	Soga3
ENSMUSG00000030757.13	3845.66120377792	4.04031226424301	0.173003614302478	1.05201733922829e-121	2.89600648164439e-119	Zkscan2
ENSMUSG00000056222.15	6097.13161330233	7.88311364110758	0.338132589770276	1.16437821498467e-121	3.17227042138143e-119	Spock1
ENSMUSG00000020297.10	22734.1147865768	10.9451761434855	0.470416817679418	1.31172736501907e-121	3.53724684442439e-119	Nsg2
ENSMUSG00000036218.16	1617.98180022791	7.63615571991308	0.32852714823311	4.97510778861716e-121	1.32805225787662e-118	Pdzrn4
ENSMUSG00000014837.15	10461.3190531417	3.79905192827306	0.163511039095726	2.96435196599009e-120	7.833892940522e-118	RP23-127B8.5
ENSMUSG00000024897.8	3186.21380449841	7.43896325458478	0.32091992241256	1.10420404759516e-119	2.88918815502942e-117	Apba1
ENSMUSG00000063919.11	5425.26163472138	6.82648199968685	0.295387821292844	3.17315164197576e-119	8.22126259240132e-117	Srrm4
ENSMUSG00000057098.14	5414.08235392654	8.3622260527999	0.362121760704181	4.31316855103471e-119	1.1066417990116e-116	Ebf1
ENSMUSG00000021198.16	2690.31411784566	9.18654523880739	0.397185814899792	6.546025322036e-119	1.66338279986005e-116	Unc79
ENSMUSG00000034488.14	5629.57835357793	7.92015669712599	0.343043248268752	1.01341478430875e-118	2.55062023856451e-116	Edil3
ENSMUSG00000035551.6	13575.1697129355	4.87865818442744	0.212212506287499	2.62754021336415e-118	6.55075520929947e-116	Igfbpl1
ENSMUSG00000038738.15	6367.24629116394	5.38372882122491	0.234077068955838	3.6765445752318e-118	9.08037789622905e-116	Shank1
ENSMUSG00000094910.1	12112.8673093472	6.76638150949118	0.294718464911937	7.87576316957719e-118	1.92715549335571e-115	RP23-158M23.2
ENSMUSG00000025777.8	3427.76721193629	8.34108621065194	0.364037880212338	1.70185473988282e-117	4.12613901017278e-115	Gdap1
ENSMUSG00000022245.15	8232.20285153372	11.769911221822	0.514511098716471	7.12232004934301e-117	1.71110501767262e-114	Skor1
ENSMUSG00000052981.6	7768.80750521848	7.7908311329498	0.341585039302469	2.02305548279054e-116	4.8165123642978e-114	Ube2ql1
ENSMUSG00000060568.14	2072.44135585626	4.68164303654401	0.205464088872058	4.42916686286008e-116	1.04508564897146e-113	Fam78b
ENSMUSG00000030077.11	13406.2669888343	12.8176600646915	0.561245318124169	3.04665265578541e-115	7.12512298534877e-113	Chl1
ENSMUSG00000030854.17	4649.50059900128	11.1762623404534	0.490547277577709	1.5839993919506e-114	3.67196069570864e-112	Ptpn5
ENSMUSG00000028524.21	3629.55716738409	6.4235281216881	0.283921257651324	1.91034271830228e-114	4.38996756665863e-112	Sgip1
ENSMUSG00000036882.7	11241.0562073169	4.77677413741262	0.211279634882966	3.8671080975059e-114	8.81000566317142e-112	Arhgap33
ENSMUSG00000027603.15	2175.68804769639	4.28665498910839	0.190019515752996	7.91621469302335e-114	1.78804962130366e-111	Ggt7
ENSMUSG00000024502.9	3617.62652961079	7.05976816919104	0.313702741679117	1.44452723009991e-113	3.23512890761443e-111	Jakmip2
ENSMUSG00000040035.14	3941.03968797674	9.14944101146503	0.406903865017861	5.5813525728123e-113	1.23948239026648e-110	Disp2
ENSMUSG00000011832.15	6057.74937489077	4.26864800977835	0.190035231613788	7.27573664335232e-113	1.60229910228226e-110	Evi5l
ENSMUSG00000040687.16	5841.08933660437	4.89970174139151	0.21844107439194	8.70279784033239e-113	1.90073420269805e-110	Madd
ENSMUSG00000022053.13	3374.4678559613	9.78743858818499	0.435800360574529	8.30308509246759e-112	1.79857073556263e-109	Ebf2
ENSMUSG00000045994.17	5524.81299468109	10.6991372666217	0.47998100783856	1.1076990029318e-111	2.37993183337226e-109	B3gat1
ENSMUSG00000042873.11	5844.78969163588	6.61704842509014	0.297169328924271	3.93324982254754e-111	8.38258008552128e-109	Lhfpl4
ENSMUSG00000000690.5	8425.91018099138	10.8265154992702	0.485537246863091	4.98177310990484e-111	1.05322654380364e-108	Hoxb6
ENSMUSG00000037747.9	5874.26521447267	4.90194088303868	0.220604607412638	1.33737163242818e-110	2.80497778810947e-108	Phyhipl
ENSMUSG00000040797.16	3657.69363305658	9.31548198079921	0.41985214446948	3.5805579509505e-110	7.45066180864322e-108	Iqsec3
ENSMUSG00000046982.10	11312.4642087265	6.4490849856414	0.2914394146725	1.2208697891293e-109	2.52061921229063e-107	Tshz1
ENSMUSG00000028546.17	9603.64942358374	7.1919676543877	0.326204163453002	5.84583549231563e-109	1.19758057794903e-106	Elavl4
ENSMUSG00000021301.9	3050.501545756	9.59952142278136	0.435994410227078	7.6808623186031e-109	1.56140114225942e-106	Hecw1
ENSMUSG00000039542.16	30915.7374675867	6.05879035333785	0.275428319827152	1.29109854526095e-108	2.60456956149704e-106	Ncam1
ENSMUSG00000048814.10	4143.76917993482	8.22245638902353	0.374182269017316	1.70319476148471e-108	3.40987333043609e-106	Lonrf2
ENSMUSG00000040711.7	5401.39247396385	3.56733586826354	0.162085426976648	2.70642063622196e-108	5.3776374551457e-106	Sh3pxd2b
ENSMUSG00000016349.10	1594.49706345245	6.33784890312723	0.288433888036928	5.42019160435725e-108	1.06895077259962e-105	Eef1a2
ENSMUSG00000056073.16	2706.71711430883	9.06646817806069	0.414211264909967	7.93639489896736e-108	1.55359339255563e-105	Grik2
ENSMUSG00000031342.17	10677.8763721834	6.530393924307	0.298355608838997	2.11220818446626e-107	4.10436218315367e-105	Gpm6b
ENSMUSG00000052516.19	14962.8212699918	9.10036592964639	0.41556270264691	2.71065315124987e-107	5.22879057139273e-105	Robo2
ENSMUSG00000031227.8	6759.96397857473	5.53640349037169	0.254528499623056	5.70646775653637e-106	1.09278857537671e-103	Magee1
ENSMUSG00000052504.7	2657.8484317187	7.9573402013479	0.366656870082792	6.61815344071507e-106	1.25825856818545e-103	Epha3
ENSMUSG00000031688.4	3011.7299824898	9.51378954497209	0.439304123627586	1.04884065968135e-105	1.97983657952851e-103	Pou4f2
ENSMUSG00000021986.8	3691.91486626319	8.16688484239172	0.376706070228027	2.36380966368612e-105	4.43038283561937e-103	Amer2
ENSMUSG00000021994.15	2188.45209716486	4.99060664631206	0.231317255331187	2.01952690916e-104	3.75845335411065e-102	Wnt5a
ENSMUSG00000026452.15	677.782071708092	7.01358210882366	0.324068503675623	3.01455270099815e-104	5.57101987617329e-102	Syt2
ENSMUSG00000024063.12	11230.0400006622	5.90766595623567	0.27424592314171	4.43662480650137e-104	8.1421308167647e-102	Lbh
ENSMUSG00000043557.15	2774.2119860628	4.80342593955534	0.223196322090825	5.37601408912967e-104	9.79806374713309e-102	Mdga1
ENSMUSG00000004231.15	5006.41761233238	9.36360800178475	0.435072546240499	7.99440106523226e-104	1.44704134897872e-101	Pax2
ENSMUSG00000028865.14	653.626170601121	-5.90824447231491	0.27416861654899	9.06824951659073e-104	1.63024918350301e-101	Cd164l2
ENSMUSG00000070802.5	5150.02781873952	5.66705600838192	0.263384371357035	9.18197018144635e-104	1.63954004043975e-101	Pnmal2
ENSMUSG00000022537.18	4676.48524477215	4.02814924884933	0.187897025111764	5.32310496666215e-103	9.44118758080406e-101	Tmem44
ENSMUSG00000023088.17	5961.95416009943	-2.30284179081127	0.107349127799006	7.60540299460953e-103	1.33991989959031e-100	Abcc1
ENSMUSG00000040896.16	1707.60355214542	7.67301200446007	0.360218886265773	2.81667074832682e-102	4.92954687854522e-100	Kcnd3
ENSMUSG00000008658.16	3545.14013624845	9.87312284709741	0.463467356156237	4.75307374341251e-102	8.26378156691857e-100	Rbfox1
ENSMUSG00000033597.8	4854.09848270867	3.85324433560459	0.180590267527026	4.832173707551e-102	8.34639572349348e-100	Caskin1
ENSMUSG00000004035.12	1963.03766328663	4.28684812490524	0.20102566586388	5.8317052494077e-102	1.0007433417279e-99	Gstm7
ENSMUSG00000038349.10	924.915005973218	7.23540435643625	0.338215800637379	5.98277248004277e-102	1.02004340858123e-99	Plcl1
ENSMUSG00000021071.16	1910.28093395473	9.58797963224713	0.447693139474875	6.77710303868299e-102	1.14806732053382e-99	Trim9
ENSMUSG00000025020.11	5719.67964227638	5.70191703655996	0.268451770199726	2.75990081916913e-101	4.64559865911991e-99	Slit1
ENSMUSG00000021087.18	24127.2019648324	5.37390469761022	0.253131799522819	4.00890328739138e-101	6.70527134024634e-99	Rtn1
ENSMUSG00000004360.9	4986.52797659884	9.98151865270042	0.467537985659235	5.13425584568769e-101	8.53352070654016e-99	RP23-331E5.6
ENSMUSG00000035835.14	19765.3499337405	5.31664892732927	0.250854424215254	8.808037755004e-101	1.45481258594682e-98	Plppr3
ENSMUSG00000033618.7	2940.90013767154	4.4601576977839	0.210641899362923	1.34206538448307e-100	2.20290446681578e-98	Map3k13
ENSMUSG00000026058.11	1192.91130614702	6.95341439932572	0.329221897249831	3.98741394739719e-100	6.50465360418924e-98	Khdrbs2
ENSMUSG00000024501.19	82008.9866031167	6.21463003091323	0.294898719188431	4.36404084349486e-100	7.07536855037046e-98	Dpysl3
ENSMUSG00000109394.2	1180.47325991196	8.57306484790895	0.405042489274255	1.09489152593779e-99	1.76431087536329e-97	RP24-274B19.1
ENSMUSG00000053024.14	10034.9451399011	4.47788637687621	0.212437707535261	1.43950779145355e-99	2.30556802452987e-97	Cntn2
ENSMUSG00000050711.7	1517.75350190683	9.02372792229304	0.42640371066345	2.91358847829215e-99	4.63839775396546e-97	Scg2
ENSMUSG00000024924.14	4307.546482195	4.04755352291524	0.192849174481056	7.38055731162428e-99	1.16794004834907e-96	Vldlr
ENSMUSG00000061578.8	2022.4442591085	5.56653421943961	0.265836839697822	1.85489821670784e-98	2.91782114124632e-96	Ksr2
ENSMUSG00000025469.10	1566.67200587663	8.3963970084528	0.400561838569273	2.32931360337645e-98	3.64241246132718e-96	Msx3
ENSMUSG00000039913.12	2795.49637083274	9.16624199047329	0.439633374364839	7.44545744162012e-98	1.15741825770409e-95	Pak7
ENSMUSG00000047181.12	9729.32854111419	6.96158609427909	0.333736560650075	9.17099693141485e-98	1.41732126261111e-95	Samd14
ENSMUSG00000036902.11	5714.22336516656	4.84758335973167	0.232749625380294	1.36888852034668e-97	2.10323354227917e-95	Neto2
ENSMUSG00000021217.7	3654.36578397019	5.87716264749319	0.282126377790606	1.52191011219544e-97	2.32482766098201e-95	Tshz3
ENSMUSG00000056895.4	3613.08331276451	4.65314183265937	0.223757787342663	3.77955751966201e-97	5.74036589494874e-95	Hist3h2ba
ENSMUSG00000029838.11	23961.4892374844	8.79133862945574	0.422952502032081	4.82367290541826e-97	7.28429736408505e-95	Ptn
ENSMUSG00000027273.13	6564.38570448409	7.07987152210839	0.341029910037392	4.94281834074421e-97	7.42181024379813e-95	Snap25
ENSMUSG00000064115.13	2529.28046932913	7.89771776136447	0.381075682310472	5.89886965531859e-97	8.8073123379155e-95	Cadm2
ENSMUSG00000045215.16	5607.30563874132	6.249507973229	0.301028005232759	6.23752559427764e-97	9.26062297078513e-95	Asxl3
ENSMUSG00000027612.7	3747.53704957568	6.73424034361349	0.324901206693773	8.92202289712872e-97	1.31721954805822e-94	Mmp24
ENSMUSG00000097023.8	3494.22574259097	7.87921172040361	0.381091354438644	1.57972500600686e-96	2.31929959631907e-94	RP23-207N5.1
ENSMUSG00000045174.10	1953.48011353062	9.43753063137492	0.455654394288625	3.78507564157343e-96	5.5264195568984e-94	Amer3
ENSMUSG00000026347.13	1512.40756674807	5.83217191780242	0.282187122332794	4.85953851534451e-96	7.05621012884667e-94	Tmem163
ENSMUSG00000059974.10	3519.8783397537	9.24665642673496	0.448378237179148	1.00164715689282e-95	1.4464770172244e-93	Ntm
ENSMUSG00000036422.10	2079.381035552	7.64026190282215	0.370577977804681	1.23540509488112e-95	1.77435056752301e-93	Pcdh8
ENSMUSG00000057880.12	8102.49515270167	5.74867266415432	0.278961250412459	1.81254844263787e-95	2.58920095641032e-93	Abat
ENSMUSG00000059921.15	2862.40969228391	8.29387192404061	0.403124998576889	4.13345940293761e-95	5.87284578717377e-93	Unc5c
ENSMUSG00000028883.17	3079.5904573509	7.63521316476975	0.370997010608112	5.59709135134911e-95	7.90985738727823e-93	Sema3a
ENSMUSG00000037872.5	923.122377496727	8.63098897912091	0.41692861636299	9.45574192338203e-95	1.32918559472988e-92	Ackr1
ENSMUSG00000031840.12	6618.12403033199	5.08703472440416	0.248646724722661	4.02418089955011e-94	5.62682691176776e-92	Rab3a
ENSMUSG00000015599.9	3975.56621909595	5.09804850031453	0.249254510946336	4.47241554000438e-94	6.22065923556293e-92	Ttbk1
ENSMUSG00000057716.6	5185.97632471546	8.5820845459611	0.420933039659718	5.11972571335282e-94	7.08371682862696e-92	Tmem178b
ENSMUSG00000022044.14	9510.75971644686	6.11918275116094	0.299672699508083	6.36026331944683e-94	8.75430618453236e-92	Stmn4
ENSMUSG00000036564.17	8815.39902341247	3.583225606942	0.175484756109969	1.14998617939539e-93	1.5746468789058e-91	Ndrg4
ENSMUSG00000020607.7	2551.71245729411	6.61025265734934	0.324682660709429	2.64819131400236e-93	3.60125955320864e-91	Fam84a
ENSMUSG00000031543.18	643.743717911934	6.26775583336159	0.307071034079246	2.65730356406586e-93	3.60125955320864e-91	Ank1
ENSMUSG00000026728.9	22128.8556793617	4.08539165268573	0.200921903498902	4.27711667653429e-93	5.76690624544753e-91	Vim
ENSMUSG00000039270.9	6447.01261171655	5.29386759857678	0.26025783321545	5.09074119956892e-93	6.82908719192933e-91	Megf9
ENSMUSG00000048988.8	362.772666615764	4.9924275298822	0.245398606713871	5.47286168991375e-93	7.30461191309851e-91	Elfn1
ENSMUSG00000046191.7	1002.65754973783	8.5639867591832	0.419372071231082	6.35531394543279e-93	8.43979304703278e-91	Pcdhb20
ENSMUSG00000004872.15	2100.3136928713	6.97148158827715	0.343263083699801	1.08233159302151e-92	1.43013885043897e-90	Pax3
ENSMUSG00000025578.9	909.74864239051	4.24370718642366	0.209016796156364	1.42526820919915e-92	1.8739086051993e-90	Cbx8
ENSMUSG00000026109.14	2869.46529174873	6.92354790384093	0.341865166086052	2.67540814844241e-92	3.50014906628157e-90	Tmeff2
ENSMUSG00000051111.16	2681.56078587001	9.80320901896202	0.485554446352485	6.77647786304219e-92	8.82177243776433e-90	Sv2c
ENSMUSG00000020140.15	557.643410868884	7.41502924785321	0.365482057108289	9.05953874593275e-92	1.1736099531312e-89	Lgr5
ENSMUSG00000033569.17	2858.277809289	5.29277722532993	0.262232613849314	9.93425580757896e-92	1.280646723058e-89	Adgrb3
ENSMUSG00000048388.3	7639.66944037236	5.198270697441	0.257581106027321	1.1316472915093e-91	1.45174965886972e-89	Fam171b
ENSMUSG00000053550.13	5850.87165899612	4.26412630864916	0.211628949576277	2.39061533535082e-91	3.05201891146455e-89	Shisa7
ENSMUSG00000021359.16	3310.19007834434	6.35663969267962	0.31612138653917	4.03908948301008e-91	5.13177970036093e-89	Tfap2a
ENSMUSG00000024014.7	12340.7039818483	-3.68356437096687	0.183221503993775	6.35610819241664e-91	8.03697948330118e-89	Pim1
ENSMUSG00000023328.14	673.915274014332	5.23496150553879	0.260805785525562	7.62412661791489e-91	9.55265798625515e-89	Ache
ENSMUSG00000038765.13	6760.34801285021	5.55634608341654	0.276644175707583	7.62708909486448e-91	9.55265798625515e-89	Lmx1b
