	mESC_DMSO_rep1	mESC_DMSO_rep2	mESC_DMSO_rep3	2_NPC_DMSO	4_NPC_DMSO	5_NPC_DMSO
ENSMUSG00000090989.1	0	0	0	1	0	0
ENSMUSG00000090990.1	0	0	0	0	0	0
ENSMUSG00000090991.1	0	0	2	0	1	0
ENSMUSG00000090994.1	10	5	6	3	7	1
ENSMUSG00000090996.1	0	0	0	0	0	0
ENSMUSG00000091002.2	38	48	34	3984	1958	2420
ENSMUSG00000091003.2	1	1	1	1	0	0
ENSMUSG00000091004.2	0	2	1	0	2	0
ENSMUSG00000091005.1	0	0	0	0	0	0
ENSMUSG00000091006.2	0	0	0	0	0	0
ENSMUSG00000091007.1	1	0	1	6	2	5
ENSMUSG00000091008.1	0	0	0	0	0	0
ENSMUSG00000091010.1	0	0	0	0	0	0
ENSMUSG00000091011.1	0	0	0	0	0	0
ENSMUSG00000091012.2	0	0	0	0	0	2
ENSMUSG00000091013.3	0	1	0	2	0	0
ENSMUSG00000091014.2	0	0	0	0	0	0
ENSMUSG00000091016.1	0	0	0	0	0	0
ENSMUSG00000091017.1	0	0	0	0	0	1
ENSMUSG00000091019.1	6	2	1	1	2	1
ENSMUSG00000091020.3	12	8	8	10	13	10
ENSMUSG00000091021.1	12	3	11	1	1	1
ENSMUSG00000091022.8	0	0	0	0	0	0
ENSMUSG00000091027.1	0	0	0	0	0	0
ENSMUSG00000091028.1	0	0	0	0	0	1
ENSMUSG00000091031.1	0	0	0	0	0	0
ENSMUSG00000091034.8	0	0	0	3	0	0
ENSMUSG00000091037.1	6	0	1	4	5	5
ENSMUSG00000091039.2	0	0	0	0	0	0
ENSMUSG00000091040.1	4	2	0	1	1	2
ENSMUSG00000091041.1	0	0	0	0	0	0
ENSMUSG00000091043.1	1	0	2	0	0	2
ENSMUSG00000091045.8	0	0	0	0	1	0
ENSMUSG00000091048.1	0	0	0	0	0	0
ENSMUSG00000091049.8	0	0	0	0	0	0
ENSMUSG00000091050.1	242	215	168	162	178	168
ENSMUSG00000091055.2	2	0	0	0	0	1
ENSMUSG00000091058.1	37	25	22	41	30	16
ENSMUSG00000091059.1	0	0	0	0	0	0
ENSMUSG00000091060.2	0	0	1	1	0	0
ENSMUSG00000091061.1	0	0	0	0	0	0
ENSMUSG00000091071.2	101	89	63	76	94	21
ENSMUSG00000091076.1	0	0	0	0	0	0
ENSMUSG00000091077.3	0	0	0	0	0	0
ENSMUSG00000091078.1	0	0	0	0	0	0
ENSMUSG00000091079.1	3	0	6	0	0	1
ENSMUSG00000091080.2	43	48	29	5	3	0
ENSMUSG00000091083.4	17	20	11	4	2	1
ENSMUSG00000091086.2	738	607	619	187	219	167
ENSMUSG00000091087.2	0	0	0	0	0	0
ENSMUSG00000091091.2	5	1	14	0	3	0
ENSMUSG00000091096.1	0	0	0	0	0	0
ENSMUSG00000091099.1	0	0	0	0	0	0
ENSMUSG00000091101.2	1	0	0	0	6	0
ENSMUSG00000091102.1	0	0	1	1	1	1
ENSMUSG00000091105.1	33	35	31	9	10	6
ENSMUSG00000091109.1	0	0	0	0	0	0
ENSMUSG00000091110.1	9	13	6	18	7	3
ENSMUSG00000091114.1	0	0	0	1	0	1
ENSMUSG00000091116.1	0	0	0	0	0	0
ENSMUSG00000091117.1	0	0	0	0	0	0
ENSMUSG00000091119.2	3	10	3	50	11	3
ENSMUSG00000091122.8	0	0	0	1	2	23
ENSMUSG00000091123.1	0	0	0	0	1	0
ENSMUSG00000091129.2	0	1	0	0	0	0
ENSMUSG00000091131.1	0	0	0	0	1	7
ENSMUSG00000091132.1	0	0	0	0	0	0
ENSMUSG00000091133.1	18	11	19	8	8	6
ENSMUSG00000091135.1	0	0	0	0	0	0
ENSMUSG00000091140.1	0	0	0	0	0	0
ENSMUSG00000091142.1	0	0	0	0	0	0
ENSMUSG00000091144.2	222	244	102	124	134	110
ENSMUSG00000091146.1	0	0	0	0	0	0
ENSMUSG00000091147.1	0	0	0	0	0	0
ENSMUSG00000091148.7	0	0	0	0	0	0
ENSMUSG00000091149.1	0	0	0	0	0	0
ENSMUSG00000091151.1	0	0	0	0	0	0
ENSMUSG00000091154.2	0	5	1	6	9	7
ENSMUSG00000091155.1	0	1	0	1	2	2
ENSMUSG00000091157.1	1	0	0	0	0	0
ENSMUSG00000091159.1	0	0	0	0	0	0
ENSMUSG00000091160.1	1	0	1	0	0	0
ENSMUSG00000091163.4	0	0	0	0	0	0
ENSMUSG00000091165.1	0	3	0	1	1	1
ENSMUSG00000091172.1	2	0	3	1	4	1
ENSMUSG00000091174.1	0	0	0	0	0	0
ENSMUSG00000091175.2	0	0	0	0	0	0
ENSMUSG00000091177.2	9	2	8	22	14	12
ENSMUSG00000091183.5	589	438	469	646	543	436
ENSMUSG00000091184.1	9	4	3	0	3	0
ENSMUSG00000091185.1	22	13	15	11	18	11
ENSMUSG00000091189.1	0	0	0	0	0	0
ENSMUSG00000091191.1	2	0	7	0	4	0
ENSMUSG00000091192.1	0	0	0	0	0	0
ENSMUSG00000091193.2	0	0	0	0	1	0
ENSMUSG00000091194.1	11	13	6	5	3	2
ENSMUSG00000091195.1	0	0	0	0	0	0
ENSMUSG00000091198.2	4	6	1	1	2	1
ENSMUSG00000091199.9	0	0	0	0	0	0
ENSMUSG00000091204.8	0	0	0	1	0	0
ENSMUSG00000091205.2	0	0	0	0	0	0
ENSMUSG00000091206.1	0	0	0	0	0	0
ENSMUSG00000091212.1	0	0	0	0	1	0
ENSMUSG00000091215.3	0	0	0	1	0	0
ENSMUSG00000091216.2	0	0	0	0	2	0
ENSMUSG00000091221.1	0	0	0	0	0	0
ENSMUSG00000091223.2	11	2	7	21	19	22
ENSMUSG00000091227.1	3	1	1	1	1	1
ENSMUSG00000091228.1	0	1	1	0	1	0
ENSMUSG00000091230.1	3	9	2	14	8	16
ENSMUSG00000091233.3	0	1	2	4	1	0
ENSMUSG00000091237.1	0	0	0	2	0	0
ENSMUSG00000091238.1	0	0	1	1	0	0
ENSMUSG00000091239.1	0	0	0	0	0	0
ENSMUSG00000091243.2	2858	1785	3344	3433	1279	1977
ENSMUSG00000091248.1	0	0	0	0	0	0
ENSMUSG00000091255.1	0	0	0	0	0	0
ENSMUSG00000091259.1	0	0	0	0	0	0
ENSMUSG00000091260.1	0	0	0	0	0	0
ENSMUSG00000091264.3	1393	1551	1155	4737	3389	3546
ENSMUSG00000091268.2	0	0	0	0	0	0
ENSMUSG00000091269.2	169	123	184	323	226	273
ENSMUSG00000091272.2	2	1	0	12	9	18
ENSMUSG00000091273.1	15	22	7	10	36	11
ENSMUSG00000091275.1	88	63	54	97	69	96
ENSMUSG00000091277.2	5	15	10	28	13	8
ENSMUSG00000091280.1	1	0	0	0	0	0
ENSMUSG00000091281.1	0	0	0	0	0	0
ENSMUSG00000091283.1	0	0	0	1	0	1
ENSMUSG00000091285.1	3	1	2	0	1	0
ENSMUSG00000091286.1	0	0	0	0	0	0
ENSMUSG00000091288.1	0	0	0	0	0	0
ENSMUSG00000091289.1	0	0	0	0	0	0
ENSMUSG00000091290.1	0	1	0	0	0	0
ENSMUSG00000091292.1	0	0	0	0	0	0
ENSMUSG00000091293.1	0	0	0	0	0	0
ENSMUSG00000091296.2	0	0	0	1	0	2
ENSMUSG00000091297.1	0	1	0	0	0	0
ENSMUSG00000091304.2	0	0	0	0	0	0
ENSMUSG00000091305.1	0	1	0	1	2	0
ENSMUSG00000091306.2	13	13	16	11	13	17
ENSMUSG00000091307.1	0	0	0	0	0	0
ENSMUSG00000091311.3	47	66	23	2	2	0
ENSMUSG00000091312.1	0	0	0	0	0	0
ENSMUSG00000091313.1	17	17	11	13	10	2
ENSMUSG00000091315.1	3	1	0	0	0	0
ENSMUSG00000091318.2	0	0	0	0	0	3
ENSMUSG00000091325.2	0	1	1	0	0	0
ENSMUSG00000091326.1	0	0	0	0	0	0
ENSMUSG00000091329.2	23	15	17	21	20	10
ENSMUSG00000091336.1	0	0	0	0	0	0
ENSMUSG00000091337.3	1213	688	1283	21137	15761	17641
ENSMUSG00000091345.9	35	152	12	147	75	25
ENSMUSG00000091347.2	3	6	0	1	0	0
ENSMUSG00000091350.2	0	0	3	0	1	0
ENSMUSG00000091351.1	1	0	0	5	1	2
ENSMUSG00000091355.1	0	0	0	0	0	0
ENSMUSG00000091358.2	2	1	1	0	0	0
ENSMUSG00000091361.2	0	0	0	0	1	0
ENSMUSG00000091363.1	24	15	14	19	9	12
ENSMUSG00000091366.1	2	9	9	1	3	0
ENSMUSG00000091367.1	0	0	1	0	0	1
ENSMUSG00000091368.1	0	0	0	0	0	0
ENSMUSG00000091370.1	3	1	0	1	0	3
ENSMUSG00000091373.4	0	0	0	0	0	0
ENSMUSG00000091375.1	0	0	0	0	0	0
ENSMUSG00000091376.1	0	0	0	0	0	0
ENSMUSG00000091378.1	0	0	2	17	10	14
ENSMUSG00000091381.2	0	0	0	0	0	1
ENSMUSG00000091382.2	0	0	0	0	0	0
ENSMUSG00000091383.2	18	3	10	1	1	2
ENSMUSG00000091386.2	0	0	0	0	0	0
ENSMUSG00000091387.2	200	210	236	169	454	120
ENSMUSG00000091390.1	0	0	0	0	0	0
ENSMUSG00000091393.1	0	0	0	1	1	0
ENSMUSG00000091396.2	0	0	0	0	0	0
ENSMUSG00000091400.1	0	0	0	0	0	0
ENSMUSG00000091401.1	4	1	7	0	3	0
ENSMUSG00000091402.7	0	0	0	0	0	0
ENSMUSG00000091404.1	0	0	0	0	0	0
ENSMUSG00000091405.2	32	25	31	45	39	32
ENSMUSG00000091407.1	0	0	0	0	0	0
ENSMUSG00000091408.3	27	40	8	8	14	5
ENSMUSG00000091410.1	4	4	3	1	1	0
ENSMUSG00000091411.1	0	0	0	0	0	0
ENSMUSG00000091412.1	5	8	0	4	3	2
ENSMUSG00000091415.5	13	13	4	3	4	2
ENSMUSG00000091416.2	0	0	0	0	1	0
ENSMUSG00000091418.2	228	82	279	81	59	95
ENSMUSG00000091419.2	6	7	7	1	1	0
ENSMUSG00000091421.3	272	205	225	381	347	323
ENSMUSG00000091422.8	0	0	0	0	0	0
ENSMUSG00000091423.1	48	35	34	33	33	34
ENSMUSG00000091425.1	0	0	0	1	0	0
ENSMUSG00000091426.1	2	0	1	6	4	1
ENSMUSG00000091429.1	0	0	0	0	0	0
ENSMUSG00000091430.1	1	3	1	0	0	0
ENSMUSG00000091435.1	0	0	0	0	0	0
ENSMUSG00000091438.1	0	0	0	1	0	0
ENSMUSG00000091441.1	0	0	0	0	1	0
ENSMUSG00000091442.1	0	0	0	0	0	0
ENSMUSG00000091443.1	0	0	0	1	0	0
ENSMUSG00000091449.2	629	496	472	185	173	168
ENSMUSG00000091450.1	0	0	0	0	1	0
ENSMUSG00000091453.2	0	0	0	0	0	0
ENSMUSG00000091455.4	2	0	7	17	14	9
ENSMUSG00000091457.1	0	0	1	0	1	0
ENSMUSG00000091459.1	0	0	0	0	0	0
ENSMUSG00000091460.2	809	693	555	378	472	313
ENSMUSG00000091462.2	0	0	0	0	0	0
ENSMUSG00000091466.1	0	0	0	0	0	0
ENSMUSG00000091468.2	0	0	0	0	0	0
ENSMUSG00000091470.1	0	0	0	0	0	0
ENSMUSG00000091471.1	1	0	0	0	0	1
ENSMUSG00000091472.2	501	357	477	359	314	369
ENSMUSG00000091474.2	4812	4924	2729	2452	2075	1713
ENSMUSG00000091475.2	200	194	160	152	227	158
ENSMUSG00000091476.6	20	14	21	12	18	13
ENSMUSG00000091477.1	1	1	1	0	0	0
ENSMUSG00000091478.2	250	259	171	186	164	120
ENSMUSG00000091479.1	0	0	0	0	0	0
ENSMUSG00000091481.1	0	0	0	0	0	0
ENSMUSG00000091483.1	0	0	0	0	0	0
ENSMUSG00000091486.1	0	0	0	0	0	0
ENSMUSG00000091487.1	0	0	0	0	0	0
ENSMUSG00000091490.3	3530	3818	1610	397	488	58
ENSMUSG00000091491.2	0	0	0	0	2	0
ENSMUSG00000091492.1	0	0	0	0	0	0
ENSMUSG00000091494.8	0	0	0	0	0	0
ENSMUSG00000091496.1	0	0	0	1	1	0
ENSMUSG00000091497.1	3	5	0	23	11	3
ENSMUSG00000091498.4	38	39	25	214	189	166
ENSMUSG00000091504.1	0	0	0	2	1	1
ENSMUSG00000091507.1	0	0	0	0	0	0
ENSMUSG00000091509.7	1695	1705	1536	1022	1076	789
ENSMUSG00000091510.4	20	8	21	123	103	93
ENSMUSG00000091511.2	3	1	3	45	55	30
ENSMUSG00000091512.5	3880	3171	3203	3871	3608	3135
ENSMUSG00000091514.2	14	21	16	551	486	487
ENSMUSG00000091515.4	3	7	1	7	7	6
ENSMUSG00000091519.1	1	0	1	2340	1436	1714
ENSMUSG00000091523.1	14	3	15	9	2	0
ENSMUSG00000091526.2	0	0	0	0	0	0
ENSMUSG00000091528.8	0	0	2	2	0	0
ENSMUSG00000091530.2	4	6	2	3	10	0
ENSMUSG00000091531.2	1	0	0	0	0	0
ENSMUSG00000091534.2	53	26	52	49	55	47
ENSMUSG00000091537.2	11711	8641	9437	9096	8394	8676
ENSMUSG00000091539.2	0	0	0	0	0	0
ENSMUSG00000091541.2	0	1	1	1	0	0
ENSMUSG00000091542.1	0	0	0	4	1	5
ENSMUSG00000091548.1	0	2	1	0	0	0
ENSMUSG00000091549.1	634	680	513	425	495	170
ENSMUSG00000091550.1	4	5	4	0	3	0
ENSMUSG00000091552.2	2	0	0	3	7	2
ENSMUSG00000091553.1	15	0	5	0	0	1
ENSMUSG00000091556.8	2	2	0	36	13	9
ENSMUSG00000091557.2	2	0	0	0	0	0
ENSMUSG00000091558.1	0	0	0	0	0	0
ENSMUSG00000091561.2	34	23	33	1	4	1
ENSMUSG00000091563.8	22	14	15	7	3	5
ENSMUSG00000091568.8	394	227	296	58	35	49
ENSMUSG00000091569.1	0	0	0	0	0	0
ENSMUSG00000091570.1	0	0	0	0	0	0
ENSMUSG00000091572.8	3	2	10	3	2	0
ENSMUSG00000091573.1	0	1	0	0	3	0
ENSMUSG00000091575.2	0	0	0	2	2	1
ENSMUSG00000091577.2	11	6	8	3	3	4
ENSMUSG00000091583.1	0	0	0	0	0	0
ENSMUSG00000091584.1	0	0	0	0	0	0
ENSMUSG00000091586.1	1298	792	1408	717	966	654
ENSMUSG00000091587.1	16	11	12	2	0	4
ENSMUSG00000091594.2	2650	3142	1511	588	507	98
ENSMUSG00000091595.1	0	0	0	0	0	0
ENSMUSG00000091601.3	12	6	43	0	0	0
ENSMUSG00000091604.2	12	6	5	11	12	22
ENSMUSG00000091605.2	0	0	0	0	0	3
ENSMUSG00000091606.2	0	0	0	0	0	0
ENSMUSG00000091613.1	5	2	5	8	0	2
ENSMUSG00000091614.1	124	226	45	30	12	1
ENSMUSG00000091615.2	0	0	0	0	0	0
ENSMUSG00000091617.8	123	90	128	121	82	105
ENSMUSG00000091618.3	51	39	102	0	2	1
ENSMUSG00000091619.1	6	9	8	2	0	0
ENSMUSG00000091620.2	0	0	0	0	0	0
ENSMUSG00000091623.1	28	21	25	27	38	30
ENSMUSG00000091624.1	0	0	0	0	0	0
ENSMUSG00000091625.8	4248	3517	3149	1479	1585	1197
ENSMUSG00000091627.1	0	0	0	0	0	0
ENSMUSG00000091631.2	1	0	0	0	0	0
ENSMUSG00000091635.1	0	0	0	0	0	0
ENSMUSG00000091636.1	11	7	7	576	288	237
ENSMUSG00000091638.2	0	0	0	0	0	0
ENSMUSG00000091639.2	197	138	215	331	243	345
ENSMUSG00000091648.2	2	3	4	5	2	0
ENSMUSG00000091649.3	10	8	6	3	1	0
ENSMUSG00000091650.2	0	0	0	0	1	0
ENSMUSG00000091651.2	0	0	0	0	0	0
ENSMUSG00000091652.2	0	0	0	0	0	0
ENSMUSG00000091655.3	103	95	77	42	28	32
ENSMUSG00000091656.1	0	0	0	0	0	0
ENSMUSG00000091657.1	2	0	0	0	0	0
ENSMUSG00000091659.1	0	0	0	0	0	0
ENSMUSG00000091661.2	2	2	0	7	1	3
ENSMUSG00000091662.9	0	0	0	0	0	0
ENSMUSG00000091665.1	0	0	0	0	2	1
ENSMUSG00000091668.3	0	0	0	0	0	1
ENSMUSG00000091669.1	0	0	0	0	0	0
ENSMUSG00000091670.1	0	0	0	0	0	0
ENSMUSG00000091671.1	0	0	0	0	0	0
ENSMUSG00000091672.2	0	0	0	0	0	0
ENSMUSG00000091676.1	0	0	0	0	3	0
ENSMUSG00000091679.9	0	0	0	0	2	1
ENSMUSG00000091680.3	10	9	9	1	2	0
ENSMUSG00000091682.2	0	0	0	0	0	0
ENSMUSG00000091685.6	1	0	1	3	2	0
ENSMUSG00000091686.1	0	0	0	6	6	4
ENSMUSG00000091692.2	0	0	0	0	0	0
ENSMUSG00000091694.9	0	0	0	0	0	0
ENSMUSG00000091695.1	44	27	42	5	9	18
ENSMUSG00000091697.1	13	6	14	12	7	4
ENSMUSG00000091698.8	4	2	1	2	1	1
ENSMUSG00000091700.7	0	0	0	0	0	0
ENSMUSG00000091703.2	0	0	0	0	0	0
ENSMUSG00000091705.8	911	588	1191	19	49	24
ENSMUSG00000091707.1	0	2	2	1	0	0
ENSMUSG00000091709.1	31	8	8	0	0	0
ENSMUSG00000091712.2	954	333	856	318	663	688
ENSMUSG00000091713.1	0	0	0	0	0	0
ENSMUSG00000091718.1	0	1	0	0	1	0
ENSMUSG00000091721.4	0	0	0	0	0	0
ENSMUSG00000091722.2	0	0	0	1068	594	489
ENSMUSG00000091723.2	3	0	0	0	0	1
ENSMUSG00000091725.8	0	0	0	0	0	1
ENSMUSG00000091730.1	1	0	0	0	0	0
ENSMUSG00000091731.1	0	0	0	0	0	0
ENSMUSG00000091732.1	18	13	15	5	6	8
ENSMUSG00000091733.1	0	2	0	1	0	0
ENSMUSG00000091734.2	0	2	0	1	0	2
ENSMUSG00000091735.2	31	24	27	5	3	2
ENSMUSG00000091736.3	0	0	0	0	0	0
ENSMUSG00000091740.3	0	0	0	0	0	0
ENSMUSG00000091741.1	0	0	0	0	0	0
ENSMUSG00000091742.1	60	59	52	53	54	59
ENSMUSG00000091743.2	0	0	0	0	0	1
ENSMUSG00000091744.1	0	0	0	155	139	146
ENSMUSG00000091745.1	8	11	1	4	2	2
ENSMUSG00000091749.7	0	0	0	1	0	1
ENSMUSG00000091752.2	0	0	0	0	0	0
ENSMUSG00000091754.8	565	341	523	594	605	560
ENSMUSG00000091756.1	18	10	17	6	6	6
ENSMUSG00000091757.1	0	0	0	0	0	0
ENSMUSG00000091762.1	0	0	0	0	0	0
ENSMUSG00000091764.3	228	143	237	856	650	431
ENSMUSG00000091768.1	1	1	0	0	0	0
ENSMUSG00000091771.1	0	0	0	0	0	0
ENSMUSG00000091775.1	0	0	2	0	2	0
ENSMUSG00000091776.1	0	0	0	0	0	0
ENSMUSG00000091779.8	0	0	0	0	0	0
ENSMUSG00000091780.3	459	288	364	174	160	123
ENSMUSG00000091784.2	0	0	0	0	0	0
ENSMUSG00000091785.1	7	5	7	1	4	6
ENSMUSG00000091786.1	2	0	1	0	1	1
ENSMUSG00000091788.3	0	0	0	0	0	0
ENSMUSG00000091792.1	0	0	0	0	0	0
ENSMUSG00000091794.2	12	8	10	4	6	11
ENSMUSG00000091800.2	0	0	0	0	0	0
ENSMUSG00000091803.7	939	693	771	496	410	393
ENSMUSG00000091805.1	0	0	0	0	0	0
ENSMUSG00000091806.1	0	1	0	0	0	0
ENSMUSG00000091808.1	0	0	0	0	0	0
ENSMUSG00000091809.4	0	0	0	0	0	0
ENSMUSG00000091811.2	591	554	428	1477	1181	1538
ENSMUSG00000091812.1	0	0	0	0	0	0
ENSMUSG00000091813.4	0	0	0	0	0	0
ENSMUSG00000091814.1	6	4	4	5	5	2
ENSMUSG00000091815.1	0	0	0	0	0	0
ENSMUSG00000091816.1	3	0	0	6	4	8
ENSMUSG00000091817.1	0	0	0	0	0	0
ENSMUSG00000091818.3	8	10	9	3	2	1
ENSMUSG00000091821.1	0	0	0	0	0	0
ENSMUSG00000091825.1	18	12	19	25	22	18
ENSMUSG00000091827.2	0	0	0	0	0	0
ENSMUSG00000091831.5	67	78	63	19	19	30
ENSMUSG00000091832.1	0	0	0	0	0	0
ENSMUSG00000091834.2	32	40	11	15	11	3
ENSMUSG00000091842.2	0	0	0	0	0	0
ENSMUSG00000091844.1	1	2	4	53	71	31
ENSMUSG00000091845.1	1245	1121	1140	314	280	277
ENSMUSG00000091847.1	0	0	0	0	0	0
ENSMUSG00000091849.7	0	0	0	0	0	0
ENSMUSG00000091859.2	0	0	0	0	0	0
ENSMUSG00000091863.1	2	2	0	0	0	0
ENSMUSG00000091864.1	14	18	22	53	44	37
ENSMUSG00000091866.1	2	1	3	1	2	1
ENSMUSG00000091867.2	0	0	0	0	0	0
ENSMUSG00000091873.2	0	0	0	0	0	0
ENSMUSG00000091874.2	0	0	0	0	0	0
ENSMUSG00000091876.1	1	0	0	1	2	0
ENSMUSG00000091879.1	0	0	0	0	0	0
ENSMUSG00000091881.1	17	7	11	16	15	19
ENSMUSG00000091882.8	0	0	0	0	0	0
ENSMUSG00000091887.1	0	0	0	0	0	0
ENSMUSG00000091888.2	0	0	0	0	0	0
ENSMUSG00000091890.2	13	11	15	59	37	17
ENSMUSG00000091894.1	0	0	0	0	0	0
ENSMUSG00000091896.7	13479	8889	11078	13678	12225	12025
ENSMUSG00000091897.1	0	0	0	0	0	0
ENSMUSG00000091898.8	1917	144	2250	36	87	52
ENSMUSG00000091900.2	41	59	47	46	45	36
ENSMUSG00000091902.1	0	0	0	0	0	0
ENSMUSG00000091903.8	0	0	0	0	0	0
ENSMUSG00000091905.3	85	78	80	132	89	111
ENSMUSG00000091906.2	0	0	0	0	0	1
ENSMUSG00000091908.7	0	2	0	1	2	2
ENSMUSG00000091911.1	0	0	0	0	0	0
ENSMUSG00000091922.1	0	0	0	0	0	0
ENSMUSG00000091923.8	0	0	1	0	0	0
ENSMUSG00000091924.2	0	0	0	0	0	0
ENSMUSG00000091926.2	1	0	0	0	2	0
ENSMUSG00000091929.2	0	0	0	0	1	0
ENSMUSG00000091930.1	0	0	0	0	0	0
ENSMUSG00000091931.5	908	702	845	912	809	852
ENSMUSG00000091933.2	0	0	0	0	0	0
ENSMUSG00000091936.1	0	0	0	0	0	0
ENSMUSG00000091937.3	0	0	0	0	0	0
ENSMUSG00000091938.2	0	0	0	0	0	0
ENSMUSG00000091941.1	8	11	12	7	5	9
ENSMUSG00000091942.1	0	2	0	0	0	0
ENSMUSG00000091945.1	0	0	0	0	0	0
ENSMUSG00000091947.1	0	0	2	11	7	14
ENSMUSG00000091950.3	0	0	0	1	0	1
ENSMUSG00000091952.3	152	135	79	55	42	27
ENSMUSG00000091955.2	803	605	813	1010	799	999
ENSMUSG00000091956.2	15	24	7	14	31	8
ENSMUSG00000091957.3	960	715	816	55	104	99
ENSMUSG00000091960.1	0	0	0	0	0	0
ENSMUSG00000091961.1	1	0	0	0	0	0
ENSMUSG00000091962.2	1	0	0	0	2	0
ENSMUSG00000091967.4	0	0	0	0	0	0
ENSMUSG00000091968.1	18	7	13	13	22	19
ENSMUSG00000091970.3	0	1	0	0	0	0
ENSMUSG00000091971.3	190	132	143	195	213	154
ENSMUSG00000091972.2	0	0	0	0	2	3
ENSMUSG00000091983.3	0	0	0	0	0	0
ENSMUSG00000091985.1	73	66	43	219	147	212
ENSMUSG00000091987.8	0	0	0	0	0	0
ENSMUSG00000091989.1	72	59	81	19	26	28
ENSMUSG00000091990.1	0	0	0	0	0	0
ENSMUSG00000091993.2	8	7	13	39	26	21
ENSMUSG00000091994.2	603	271	659	980	745	768
ENSMUSG00000091995.1	0	0	0	0	0	0
ENSMUSG00000091996.8	0	0	0	0	0	0
ENSMUSG00000091997.1	17	18	25	13	19	15
ENSMUSG00000091998.2	0	0	0	0	0	0
ENSMUSG00000092004.1	0	0	0	0	0	0
ENSMUSG00000092006.1	5	4	3	13	2	9
ENSMUSG00000092008.1	0	1	0	0	0	0
ENSMUSG00000092009.1	0	1	1	5	4	2
ENSMUSG00000092014.1	9	13	10	4	3	2
ENSMUSG00000092019.4	1	1	0	5	4	4
ENSMUSG00000092021.8	0	0	0	3	10	6
ENSMUSG00000092027.1	0	0	0	0	0	0
ENSMUSG00000092029.1	189	167	181	50	52	58
ENSMUSG00000092031.1	0	0	0	0	0	0
ENSMUSG00000092032.1	0	0	0	0	0	0
ENSMUSG00000092035.8	82733	77629	84856	40011	85044	32995
ENSMUSG00000092036.2	4	10	8	11	7	2
ENSMUSG00000092039.2	10	7	3	2	3	0
ENSMUSG00000092040.1	0	0	0	0	0	0
ENSMUSG00000092042.1	0	0	0	1	0	0
ENSMUSG00000092043.1	2	7	4	2	0	0
ENSMUSG00000092045.1	0	0	0	0	0	0
ENSMUSG00000092047.1	0	1	0	0	0	0
ENSMUSG00000092048.2	0	0	0	4	5	1
ENSMUSG00000092049.8	0	0	0	0	0	0
ENSMUSG00000092051.2	2	1	1	0	0	0
ENSMUSG00000092054.3	8	2	2	0	0	0
ENSMUSG00000092055.1	0	0	0	0	0	0
ENSMUSG00000092056.2	32	21	19	14	8	5
ENSMUSG00000092060.4	7170	4112	7271	3793	3631	2783
ENSMUSG00000092066.1	0	1	0	1	0	0
ENSMUSG00000092071.1	2	0	4	0	0	0
ENSMUSG00000092072.3	197	136	128	70	64	73
ENSMUSG00000092073.8	0	0	0	0	1	0
ENSMUSG00000092074.2	4148	2644	3200	3516	2745	2906
ENSMUSG00000092075.1	0	0	0	0	0	0
ENSMUSG00000092077.2	0	0	0	0	0	0
ENSMUSG00000092080.1	0	0	0	0	0	0
ENSMUSG00000092083.4	4	4	3	1007	613	685
ENSMUSG00000092085.1	22	21	30	20	37	25
ENSMUSG00000092086.1	226	158	168	93	90	69
ENSMUSG00000092090.2	11	28	3	55	54	63
ENSMUSG00000092092.1	0	0	0	0	0	0
ENSMUSG00000092093.1	0	0	0	0	0	0
ENSMUSG00000092094.5	0	0	0	165	39	42
ENSMUSG00000092097.1	4	0	3	2	1	0
ENSMUSG00000092103.2	25	25	20	19	19	13
ENSMUSG00000092107.1	0	0	0	0	0	0
ENSMUSG00000092109.2	0	0	0	0	0	1
ENSMUSG00000092111.1	0	0	0	0	0	0
ENSMUSG00000092116.1	57	37	60	17	31	20
ENSMUSG00000092118.1	687	587	478	493	442	397
ENSMUSG00000092120.2	0	0	0	0	0	0
ENSMUSG00000092123.1	0	0	0	0	0	0
ENSMUSG00000092124.1	21	9	19	8	13	6
ENSMUSG00000092125.1	0	0	0	0	0	0
ENSMUSG00000092130.2	75	22	64	1	1	2
ENSMUSG00000092131.1	0	1	3	0	2	0
ENSMUSG00000092134.1	0	0	0	0	1	0
ENSMUSG00000092137.7	0	0	0	0	0	0
ENSMUSG00000092142.1	0	0	0	0	0	2
ENSMUSG00000092144.1	0	0	0	0	0	0
ENSMUSG00000092147.1	0	0	0	0	0	0
ENSMUSG00000092148.1	0	0	0	0	0	0
ENSMUSG00000092152.1	0	0	0	0	1	0
ENSMUSG00000092157.1	0	0	0	0	0	0
ENSMUSG00000092162.2	1	0	2	1	2	0
ENSMUSG00000092164.2	0	0	0	1	0	0
ENSMUSG00000092165.9	0	0	0	0	0	0
ENSMUSG00000092166.1	0	0	1	6	6	4
ENSMUSG00000092167.8	451	351	372	154	171	150
ENSMUSG00000092168.1	0	0	0	0	0	0
ENSMUSG00000092171.1	0	0	1	0	0	0
ENSMUSG00000092172.1	0	0	0	0	0	0
ENSMUSG00000092173.1	0	0	0	0	0	0
ENSMUSG00000092174.1	0	0	1	11	7	4
ENSMUSG00000092175.1	0	0	0	0	0	0
ENSMUSG00000092176.1	0	0	0	0	0	0
ENSMUSG00000092178.2	6	8	16	14	26	2
ENSMUSG00000092179.1	0	0	0	0	0	0
